Order_id,Order_Date, Unit_Cost , Unit_Price ,Order_Qty,Channel,Promotion_Name,Product_Name,Product_SubCategory,Product_Category,State,Zone
7077,18 03 2013,76.09,304,9,Store,New Year Promotion,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Imo,South East
117,23 02 2012,7.49,12.99,8,Store,New Year Promotion,Kekule 512MB MP3 Player E51 Blue,MP4&MP3,Audio,Imo,South East
7018,11 01 2012,10.12,159.99,9,Store,New Year Promotion,Kekule DVD 9-Inch Player Portable M300 Silver,Movie DVD,"Music, Movies and Audio Books",Imo,South East
140,13 02 2014,0.58,25.69,18,Store,Deeper Promotion,NT Bluetooth Stereo Headphones E52 Pink,Bluetooth Headphones,Audio,Delta,South South
491,17 01 2013,108.51,304,9,Online,Hammartan Promotion,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Kwara,North Central
58,6 04 2014,77.99,299,24,Online,Easter Promotion,SV Car Video TFT7 M7000 Silver,Car Video,TV and Video,Kwara,North Central
7085,27 08 2014,154.99,699,10,Online,No Discount,Simpson Laptop15 M1501 Red,Laptops,Computers,Kwara,North Central
929,15 09 2012,96.45,178,5,Online,No Discount,Fabrikam Social Videographer 1/2'' 3mm E300 White,Camcorders,Cameras and camcorders ,Kwara,North Central
1527,29 12 2012,227.4,310,13,Online,Xmas Holiday Promotion,The Phone Company Smart phones Unlocked International M800 Gold,Smart phones & PDAs ,Cell phones,Kwara,North Central
7264,21 07 2013,158.65,299,30,Online,No Discount,The Phone Company PDA Phone 3.5 inches M320 Silver,Smart phones & PDAs ,Cell phones,Kwara,North Central
1471,24 02 2012,346.63,763.51,18,Online,Hammartan Promotion,"Simpson 42"" LCD HDTV M55 Black",Televisions,TV and Video,Kwara,North Central
845,17 06 2013,192.84,588,24,Online,No Discount,"A. Datum SLR Camera 35"" X358 Gold",Digital SLR Cameras,Cameras and camcorders ,Kwara,North Central
7144,16 06 2013,50.3,95.95,24,Online,No Discount,Kekule 4GB Portable MP3 Player M450 Yellow,MP4&MP3,Audio,Kwara,North Central
1160,22 08 2012,181.82,299.23,10,Online,No Discount,Kekule 8GB Clock & Radio MP3 Player X850 Silver,MP4&MP3,Audio,Kwara,North Central
619,19 06 2013,144.3,299.23,12,Online,No Discount,Kekule 8GB Clock & Radio MP3 Player X850 Green,MP4&MP3,Audio,Kwara,North Central
625,13 07 2014,13.04,159,20,Online,No Discount,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Printers, Scanners & Fax",Computers,Kwara,North Central
523,17 11 2014,79.64,199.95,26,Online,Xmas Holiday Promotion,WWI 2GB Pulse Smart pen M100 Blue,Recording Pen,Audio,Kwara,North Central
879,8 06 2014,162.91,296,6,Online,No Discount,WWI 4GB Video Recording Pen X200 Red,Recording Pen,Audio,Kwara,North Central
